"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
1,14,50,55,58,166,171,174,189,193,236,240,245,258,NA
1,49,53,59,169,173,185,197,202,234,241,246,NA,NA,NA
1,7,37,52,57,97,169,193,200,233,242,259,NA,NA,NA
1,48,55,59,170,174,189,195,236,240,247,NA,NA,NA,NA
1,47,51,58,167,173,189,194,230,236,239,244,258,NA,NA
1,51,61,169,194,236,244,258,NA,NA,NA,NA,NA,NA,NA
1,9,47,53,58,167,173,190,195,232,240,245,258,NA,NA
1,6,50,53,56,64,170,174,191,195,219,236,240,245,259
1,41,52,59,167,173,192,195,233,239,247,NA,NA,NA,NA
1,8,37,46,53,58,169,175,184,189,195,236,240,244,259
1,46,54,58,167,172,191,195,232,236,239,247,NA,NA,NA
1,9,30,49,53,57,168,197,236,240,245,258,NA,NA,NA
1,7,48,54,57,167,173,191,197,232,241,246,NA,NA,NA
1,46,51,57,157,167,175,188,195,233,240,249,NA,NA,NA
1,52,58,169,193,234,240,244,258,NA,NA,NA,NA,NA,NA
1,6,29,51,58,164,195,230,242,259,NA,NA,NA,NA,NA
1,48,54,58,169,174,185,193,232,242,251,NA,NA,NA,NA
1,7,36,51,58,169,174,185,193,232,237,240,246,NA,NA
1,7,50,54,57,169,174,180,194,233,240,245,258,NA,NA
1,7,49,54,60,167,189,193,230,243,258,NA,NA,NA,NA
1,7,30,51,57,166,194,234,244,259,NA,NA,NA,NA,NA
1,36,52,58,167,199,233,240,246,NA,NA,NA,NA,NA,NA
1,50,53,57,168,194,234,240,246,NA,NA,NA,NA,NA,NA
1,33,53,59,169,174,191,194,232,236,240,247,NA,NA,NA
1,51,58,167,173,180,184,192,195,226,231,236,239,246,NA
1,51,59,168,173,191,195,233,240,246,NA,NA,NA,NA,NA
1,48,53,57,60,167,189,193,233,237,240,244,258,NA,NA
1,45,52,57,169,173,184,194,234,238,245,NA,NA,NA,NA
