"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,16,22,27,36,47,62,66,90,106,111,126,132,140,146,158,161,172,197,220,236,241,257,270,277,280,287,297,308,318,332,343,346,352,364,370,388,400,414,421,432,454,470,476,481,487,498
1,11,21,29,46,58,67,79,83,94,100,114,122,149,160,165,193,204,224,230,236,244,267,271,283,293,308,329,341,351,359,377,389,395,411,419,422,434,453,456,459,493,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,8,11,26,33,48,53,76,81,100,103,114,129,141,149,172,187,205,211,221,232,239,251,266,274,286,306,320,337,349,363,370,385,392,413,420,424,427,440,446,453,462,468,485,500,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,8,21,27,35,64,83,92,100,122,131,139,145,152,156,182,190,208,215,220,225,233,245,269,276,279,294,298,328,334,352,358,361,364,372,385,399,403,414,435,445,453,467,471,482,490,497
1,10,23,34,45,52,63,94,109,117,158,169,176,185,189,210,222,257,263,278,283,292,299,309,314,322,335,341,353,360,399,406,417,424,431,439,451,462,467,472,503,508,NA,NA,NA,NA,NA
1,17,28,33,50,54,73,87,99,108,127,132,149,186,191,206,210,218,226,230,236,242,251,267,281,322,357,362,389,401,421,443,448,466,475,485,495,508,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,9,15,30,33,42,46,58,63,71,76,88,92,103,123,129,157,170,180,201,211,224,237,243,250,253,268,276,288,293,316,323,350,361,365,381,398,410,435,441,451,460,473,478,488,501,NA
1,24,35,38,44,53,60,75,91,101,106,111,118,159,168,175,181,187,190,194,198,218,235,242,250,259,279,302,310,337,345,354,363,374,398,417,425,455,458,468,484,489,493,NA,NA,NA,NA
1,14,30,33,56,88,124,144,147,187,193,202,233,242,249,257,261,275,288,297,313,320,336,350,355,358,364,371,379,390,396,407,419,433,443,460,469,483,487,503,NA,NA,NA,NA,NA,NA,NA
1,10,24,35,52,64,70,75,81,88,105,115,122,127,130,136,155,163,170,176,199,202,206,213,221,231,238,251,262,283,294,298,347,350,356,422,429,432,439,459,480,488,491,505,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,13,26,51,57,67,88,91,97,104,116,122,126,137,141,163,190,201,204,215,222,233,244,254,264,273,299,306,318,321,328,336,344,348,367,374,390,396,408,421,436,441,454,463,483,488,507
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,10,32,45,62,69,77,85,94,118,126,133,150,155,162,181,186,189,197,206,217,236,242,255,260,270,277,290,293,297,316,324,343,346,378,396,418,426,442,456,474,477,487,496,508,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,9,22,26,30,48,53,61,82,111,116,124,133,141,151,159,165,174,190,195,202,206,212,221,229,235,250,278,294,300,316,327,349,378,385,403,417,432,439,444,452,467,474,486,500,NA,NA
