"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,8,27,48,55,89,96,126,153,167,192,196,215,221,226,272,292,297,304,309,313,323,328,342,346,358,403,414,429,456,460,469,481,505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,21,38,45,63,82,100,126,178,188,193,209,288,299,302,311,321,326,331,350,356,397,431,445,458,464,468,483,499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,13,22,38,44,57,64,69,78,93,160,176,190,202,213,222,238,265,300,316,325,329,375,396,442,449,458,482,494,507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,26,43,46,53,58,63,81,95,100,105,114,132,150,195,198,204,209,243,246,286,317,326,334,342,348,352,381,407,432,450,463,467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,16,24,38,42,49,59,104,113,133,143,150,173,179,189,207,287,291,310,314,323,329,347,369,378,395,456,461,473,480,494,504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,25,48,52,59,69,74,80,85,94,114,124,129,151,162,172,186,191,196,220,225,232,243,256,278,312,338,347,357,370,411,418,427,436,454,466,481,484,488,500,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,9,19,27,31,57,67,75,81,96,100,112,136,142,158,172,187,196,218,241,245,255,265,283,294,304,326,331,342,357,361,366,370,378,405,410,413,435,450,458,470,482,491,503,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,27,33,39,50,57,69,72,118,124,150,153,176,184,192,199,231,247,262,278,283,288,314,318,327,341,347,370,416,447,458,480,496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,8,12,22,31,49,58,63,77,86,104,107,110,115,132,138,158,173,184,194,197,202,214,219,230,250,256,264,295,308,316,323,337,366,384,413,445,449,454,457,491,503,NA,NA,NA,NA
1,10,35,47,50,85,111,123,179,195,205,212,221,305,309,324,327,339,363,394,399,425,449,465,481,494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,13,26,36,43,54,64,72,87,175,182,200,208,216,271,315,345,351,355,399,437,453,458,473,484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,5,35,39,46,59,66,73,76,143,170,185,195,204,218,221,234,321,330,339,345,372,390,406,425,435,439,447,456,465,493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,11,20,29,41,48,56,64,138,185,200,206,217,280,288,322,331,341,345,354,384,419,433,448,452,459,469,480,496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
